Qualification Ref,Qualification Level,From which date,To which date,Qualification Name,Awarding Organisation Title,Qualification Number,Notes/Additional Requirements,
EYQ-001,2,null,Aug-14,BTEC First Diploma in Childrens Care Learning and Development,Various Awarding Organisations,,None,
EYQ-002,2,null,Aug-14,BTEC First Diploma in Early Years,Edexcel (now Pearson Education Ltd),,None,
EYQ-003,2,null,Aug-14,Certificate In Child Care and Education,Various Awarding Organisations,,None,
EYQ-004,2,null,Aug-14,Certificate in Playgroup Practice,NCFE,,None,
EYQ-005,2,null,Aug-14,Certificate in Playwork,Various Awarding Organisations,,None,
EYQ-006,2,null,Aug-14,Certificate in PreSchool Practice CPP,CACHE Council for Awards in Care Health and Education,,None,
EYQ-007,2,null,Aug-14,Certificate in Sessional Creche Work,NCFE,,None,
EYQ-008,2,null,Aug-14,Diploma in Child Care and Education,CACHE Council for Awards in Care Health and Education,,None,
EYQ-009,2,null,Aug-14,Diploma in Playwork,Various Awarding Organisations,,None,
EYQ-010,2,null,Aug-14,Diploma in Playwork Mandatory Units,City & Guilds,,None,
EYQ-011,2,null,Aug-14,Foundation Certificate in Montessori Pedagogy,Montessori Centre International,,None,
EYQ-012,2,null,Aug-14,Intermediate Certificate Playwork,NCFE,,None,
EYQ-013,2,null,Aug-14,Montessori Early Years Classroom Assistants Certificate,Montessori Partnership,,None,
EYQ-014,2,null,Aug-14,NVQ bin Childcare and Education,Various Awarding Organisations,,None,
EYQ-015,2,null,Aug-14,NVQ in Early Years Care and Education,Various Awarding Organisations,,None,
EYQ-016,2,null,Aug-14,Preliminary Diploma in Nursery Nursing,NNEB National Nursery Examination Board,,None,
EYQ-017,2,null,Aug-14,Certificate for the Children and Young People's Workforce,Various Awarding Organisations,,None,
EYQ-018,2,null,Aug-14,"NVQ in Children's Care, Learning and Development",Various Awarding Organisations,,None,
EYQ-019,2,null,Aug-14,NVQ in Playwork,Various Awarding Organisations,,None,
EYQ-020,2,null,Aug-14,NVQ for Teaching Assistants,Various Awarding Organisations,,Considered full and relevant at level 2 where the practitioner achieved it and had their practice assessed in the Early Years Foundation Stage in the maintained sector.,
EYQ-021,2,null,Aug-14,NVQ Supporting Teaching and Learning in Schools,Various Awarding Organisations,,Considered full and relevant at level 2 where the practitioner achieved it and had their practice assessed in the Early Years Foundation Stage in the maintained sector.,
EYQ-022,3,null,Aug-14,Advanced Certificate in Playgroup Practice,NCFE,,None,
EYQ-023,3,null,Aug-14,APEL Work with Children Early Years and Playwork,City & Guilds,,None,
EYQ-024,3,null,Aug-14,Bournemouth Montessori Centre Certificate Course,Bournemouth Montessori Examination Board,,None,
EYQ-025,3,null,Aug-14,BTEC Diploma in Childcare and Education,Edexcel (now Pearson Education Ltd),,None,
EYQ-026,3,null,Aug-14,BTEC in Caring Practice,Edexcel (now Pearson Education Ltd),,None,
EYQ-027,3,null,Aug-14,BTEC National Certificate in Caring Services Nursery Nursing,Edexcel (now Pearson Education Ltd),,None,
EYQ-028,3,null,Aug-14,BTEC National Certificate in Childhood Studies Nursery Nursing,Edexcel (now Pearson Education Ltd),,None,
EYQ-029,3,null,Aug-14,BTEC National Certificate in Childrens Care Learning and Development,Edexcel (now Pearson Education Ltd),,None,
EYQ-030,3,null,Aug-14,BTEC National Certificate in Early Years,Edexcel (now Pearson Education Ltd),,None,
EYQ-031,3,null,Aug-14,BTEC National Diploma in Caring Services Nursery Nursing,Edexcel (now Pearson Education Ltd),,None,
EYQ-032,3,null,Aug-14,BTEC National Diploma in Childcare and Education,Edexcel (now Pearson Education Ltd),,None,
EYQ-033,3,null,Aug-14,BTEC National Diploma in Childhood Studies Nursery Nursing,Edexcel (now Pearson Education Ltd),,None,
EYQ-034,3,null,Aug-14,BTEC National Diploma in Childrens Care Learning and Development,Edexcel (now Pearson Education Ltd),,None,
EYQ-035,3,null,Aug-14,BTEC National Diploma in Early Years,Edexcel (now Pearson Education Ltd),,None,
EYQ-036,3,null,Aug-14,BTEC National Diploma in Science Nursery Nursing,Edexcel (now Pearson Education Ltd),,None,
EYQ-037,3,null,Aug-14,Certificate in Caring for Children 07 years,City & Guilds,,None,
EYQ-038,3,null,Aug-14,Certificate in Childminding Practice,CACHE Council for Awards in Care Health and Education,,None,
EYQ-039,3,null,Aug-14,Certificate in Montessori Education for Qualified Nursery Nurses,Kent Sussex Montessori Centre,,None,
EYQ-040,3,null,Aug-14,Certificate in Nursery Nursing,NNEB National Nursery Examination Board,,Also applies to Scottish Nursery Nurse Examination Board Certificate (SNNEB),
EYQ-041,3,null,Aug-14,Certificate in Play skills,NNEB National Nursery Examination Board,,None,
EYQ-042,3,null,Aug-14,Certificate in Playwork,CACHE Council for Awards in Care Health and Education,,None,
EYQ-043,3,null,Aug-14,Certificate in Work with Children,CACHE Council for Awards in Care Health and Education,,None,
EYQ-044,3,null,Aug-14,Certificate in Work with Children,City & Guilds,,None,
EYQ-045,3,null,Aug-14,Certificate in Work with Children Playwork,CACHE Council for Awards in Care Health and Education,,None,
EYQ-046,3,null,Aug-14,Diploma in Child Care and Education,CACHE Council for Awards in Care Health and Education,,None,
EYQ-047,3,null,Aug-14,Diploma in Homebased Childcare,CACHE Council for Awards in Care Health and Education,,None,
EYQ-048,3,null,Aug-14,Diploma in Montessori Teaching,Portobello Institute,,None,
EYQ-049,3,null,Aug-14,Diploma in Nursery Nursing,NNEB National Nursery Examination Board,,None,
EYQ-050,3,null,Aug-14,Diploma in Nursery Nursing integrated scheme,NNEB National Nursery Examination Board,,None,
EYQ-051,3,null,Aug-14,Diploma in Nursery Nursing Modular scheme,NNEB National Nursery Examination Board,,None,
EYQ-052,3,null,Aug-14,Diploma in Nursery Nursing Pilot Scheme,NNEB National Nursery Examination Board,,None,
EYQ-053,3,null,Aug-14,Diploma in Playgroup Practice DPP,Pre School Learning Alliance PSLA PLA,,None,
EYQ-054,3,null,Aug-14,Diploma in Playwork,Various Awarding Organisations,,None,
EYQ-055,3,null,Aug-14,Diploma in PreSchool Practice DPP,CACHE Council for Awards in Care Health and Education,,None,
EYQ-056,3,null,Aug-14,Diploma in PreSchool Practice DPP,Pre School Learning Alliance PSLA PLA,,None,
EYQ-057,3,null,Aug-14,Diploma in Specialist Support for Teaching and Learning in Schools,Various Awarding Organisations,,None,
EYQ-058,3,null,Aug-14,Diploma in Support Work in Schools,Various Awarding Organisations,,None,
EYQ-059,3,null,Aug-14,Diploma of Higher Education in Early Childhood Studies,Canterbury Christchurch University,,None,
EYQ-060,3,null,Aug-14,Experienced Playleader Certificate,Pre School Learning Alliance PSLA PLA,,None,
EYQ-061,3,null,Aug-14,HNC Child Care and Education,Scottish Qualifications Authority,,None,
EYQ-062,3,null,Aug-14,Montessori Diploma,Montessori College,,None,
EYQ-063,3,null,Aug-14,Montessori Diploma,Surrey College,,None,
EYQ-064,3,null,Aug-14,National Diploma in Specialist Support in Teaching and Learning,Various Awarding Organisations,,None,
EYQ-065,3,null,Aug-14,NCFE Advanced Certificate in Playwork,NCFE,,None,
EYQ-066,3,null,Aug-14,NVQ in Supporting Teaching and Learning in Schools,Various Awarding Organisations,,None,
EYQ-067,3,null,Aug-14,NVQ Caring for Children and Young People,Various Awarding Organisations,,None,
EYQ-068,3,null,Aug-14,NVQ Early Years Care and Education,Various Awarding Organisations,,None,
EYQ-069,3,null,Aug-14,NVQ for Teaching Assistants,Various Awarding Organisations,,None,
EYQ-070,3,null,Aug-14,NVQ in Childcare and Education,Various Awarding Organisations,,None,
EYQ-071,3,null,Aug-14,NVQ in Playwork,Various Awarding Organisations,,None,
EYQ-072,3,null,Aug-14,"NVQ in Children's Care, Learning and Development",Various Awarding Organisations,,None,
EYQ-073,3,null,Aug-14,Progression Award in Early Years Care and Education mandatory units,City & Guilds,,None,
EYQ-074,3,null,Aug-14,Diploma in Nursery Nursing (NNEB),CACHE Council for Awards in Care Health and Education,,None,
EYQ-075,3,null,Aug-14,Diploma for the Children and Young People's Workforce (Early Learning and Childcare),Various Awarding Organisations,,Also applies if the qualification was taken in Wales or NI,
EYQ-076,3,null,Aug-14,Diploma in Playwork (NVQ),Various Awarding Organisations,,None,
EYQ-077,3,null,Aug-14,Certificate for Teaching Assistants,Various Awarding Organisations,,Full and relevant when the holder has also achieved the Level 3 Certificate in Early Years Foundation Stage Practice,
EYQ-078,3,null,Aug-14,Certificate in Support Work in Schools,Various Awarding Organisations,,Full and relevant when the holder has also achieved the Level 3 Certificate in Early Years Foundation Stage Practice,
EYQ-079,3,null,Aug-14,Certificate of Higher Education in Early Years or Early Years Practice or Early Childhood Studies or Childcare or Playwork,Various Awarding Organisations,,The qualifications must have included an element of assessed performance in an early years setting.,
EYQ-084,3,null,Aug-14,Higher Level Teaching Assistant Status (HLTA),Training and Development Agency / The Teaching Agency,,"Considered full and relevant where the learner has a certificate awarded by either the Training and Development Agency or the Teaching Agency, and had their practice assessed in the Early Years Foundation Stage in the maintained sector.",
EYQ-085,3,null,Aug-14,Higher National Certificate in Early Years or Early Years Practice or Early Childhood Studies or Childcare or Playwork,Various Awarding Organisations,,The qualifications must have included an element of assessed performance in an early years setting.,
EYQ-090,4,null,Aug-14,Certificate of Higher Education in Early Years or Early Years Practice or Early Childhood Studies or Childcare or Playwork,Various Awarding Organisations,,The qualifications must have included an element of assessed performance in an early years setting.,
EYQ-095,4,null,Aug-14,Higher National Certificate in Early Years or Early Years Practice or Early Childhood Studies or Childcare or Playwork,Various Awarding Organisations,,The qualifications must have included an element of assessed performance in an early years setting.,
EYQ-100,4,null,Aug-14,"NVQ Children's Care, Learning and Development",Various Awarding Organisations,,None,
EYQ-101,4,null,Aug-14,"NVQ Early Years, Care and Education",Various Awarding Organisations,,None,
EYQ-102,4,null,Aug-14,NVQ Playwork,Various Awarding Organisations,,None,
EYQ-103,4,null,Aug-14,AMI 3-6 Diploma in Montessori Education,Association Montessori International,,None,
EYQ-104,4,null,Aug-14,Baby and Toddler Montessori Diploma,Kent Sussex Montessori Centre,,None,
EYQ-105,4,null,Aug-14,Certificate in Early Years Practice,Open University OU,,None,
EYQ-106,4,null,Aug-14,Certificate in Managing Quality Standards in Childrens Services,CACHE Council for Awards in Care Health and Education,,None,
EYQ-107,4,null,Aug-14,Child Care and Education,Scottish Qualifications Authority,,None,
EYQ-108,4,null,Aug-14,Diploma in Early Childhood Education Steiner Waldorf,London and Emerson College,,None,
EYQ-109,4,null,Aug-14,Diploma in Montessori Method of Education with Teaching Practice,Modern Montessori International Ltd,,None,
EYQ-110,4,null,Aug-14,Diploma in Steiner Waldorf Early Years Education,London Steiner Waldorf Early Childhood Teacher Training Centre,,None,
EYQ-111,4,null,Aug-14,Diploma in Theory and Practice of the Montessori Method of Education,St Nicholas Montessori Training Centre,,None,
EYQ-112,4,null,Aug-14,Diploma in Theory and Practice of the Montessori Method of Education 2.5 - 6 year olds,Montessori Centre International,,None,
EYQ-113,4,null,Aug-14,Diploma of Higher Education Early Childhood Studies,London Metropolitan University,,None,
EYQ-114,4,null,Aug-14,Early Childhood 256 years Diploma,Montessori College,,None,
EYQ-115,4,null,Aug-14,Early Childhood Diploma,Montessori College,,None,
EYQ-116,4,null,Aug-14,Early Childhood Studies Steiner,Crossfields Institute,,None,
EYQ-117,4,null,Aug-14,Early Childhood Training Course Diploma,London Steiner Waldorf Early Childhood Teacher Training Centre,,None,
EYQ-118,4,null,Aug-14,HE Certificate in Steiner Waldorf Early Years Education,University of Plymouth,,None,
EYQ-119,4,null,Aug-14,Higher Professional Diploma in Early Years Mandatory Units,City & Guilds,,None,
EYQ-120,4,null,Aug-14,International Diploma in Montessori Pedagogy Infant and Toddler Course,Montessori Board,,None,
EYQ-121,4,null,Aug-14,International Diploma in Montessori Pedagogy Nursery Foundation Course for Post Graduates and NNEBDNN qualified,Montessori Board,,None,
EYQ-122,4,null,Aug-14,International Diploma in Montessori Pedagogy Early Childhood Course,Montessori Board,,None,
EYQ-123,4,null,Aug-14,International Early Childhood PrePrimary Teaching Diploma,London Montessori,,None,
EYQ-124,4,null,Aug-14,International Infant Toddler Teaching Diploma,London Montessori,,None,
EYQ-125,4,null,Aug-14,International Montessori Diploma,Montessori College,,None,
EYQ-126,4,null,Aug-14,International Nursery Foundation Teaching Diploma,Montessori Board,,None,
EYQ-127,4,null,Aug-14,International Nursery Foundation Teaching Diploma for Postgraduate,London Montessori,,None,
EYQ-128,4,null,Aug-14,Montessori Diploma,Bournemouth Montessori Examination Board,,None,
EYQ-129,4,null,Aug-14,Montessori Diploma in Early Years Education,Montessori Partnership,,None,
EYQ-130,4,null,Aug-14,Montessori Early Childhood Teaching Diploma,Kent Sussex Montessori Centre,,None,
EYQ-131,4,null,Aug-14,Nursery Foundation Teaching Diploma,London Montessori,,None,
EYQ-132,4,null,Aug-14,Oxford Montessori Teacher Training Course,Oxford Montessori Centre,,None,
EYQ-133,4,null,Aug-14,Postgraduate Certificate in Montessori Education,Kent Sussex Montessori Centre,,None,
EYQ-134,4,null,Aug-14,Theory and Practice of the Montessori Method of education for children 2.5-5 years,St Nicholas Montessori Training Centre,,None,
EYQ-135,4,null,Aug-14,Theory and Practice of the Montessori method of education for children birth to 7 years,St Nicholas Montessori Training Centre,,None,
EYQ-136,5,null,Aug-14,BTEC Advanced Practice in Work with Children and Families,Edexcel (now Pearson Education Ltd),,None,
